,Quarter,Tm,Detail,KAN,RAI
0,1.0,Raiders,Bo Jackson 22 yard rush (Chris Bahr kick),0,7
1,2.0,Chiefs,Paul Palmer 3 yard rush (Nick Lowery kick),7,7
2,2.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),7,14
3,4.0,Raiders,Chris Bahr 42 yard field goal,7,17
4,4.0,Chiefs,Nick Lowery 45 yard field goal,10,17
