,Quarter,Time,Tm,Detail,DAL,NYG
0,1.0,,Cowboys,Richie Cunningham 38 yard field goal,3,0
1,2.0,,Cowboys,Richie Cunningham 31 yard field goal,6,0
2,2.0,,Giants,Brad Daluiso 27 yard field goal,6,3
3,3.0,,Giants,Brad Daluiso 22 yard field goal,6,6
4,3.0,,Cowboys,Richie Cunningham 27 yard field goal,9,6
5,3.0,,Giants,Tito Wooten 61 yard interception return (Brad Daluiso kick),9,13
6,4.0,,Giants,Charles Way 3 yard rush (Brad Daluiso kick),9,20
7,4.0,,Cowboys,Anthony Miller 2 yard pass from Troy Aikman (Eric Bjornson pass from Troy Aikman),17,20
