,Quarter,Time,Tm,Detail,TAM,NWE
0,1.0,1:47,Buccaneers,Rian Lindell 30 yard field goal,3,0
1,2.0,7:31,Patriots,Kenbrell Thompkins 16 yard pass from Tom Brady (Stephen Gostkowski kick),3,7
2,2.0,0:47,Patriots,Kenbrell Thompkins 5 yard pass from Tom Brady (Stephen Gostkowski kick),3,14
3,2.0,0:00,Patriots,Stephen Gostkowski 53 yard field goal,3,17
4,3.0,3:38,Patriots,Stephen Gostkowski 46 yard field goal,3,20
5,4.0,8:19,Patriots,Stephen Gostkowski 33 yard field goal,3,23
