,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,,Bills,Andre Reed 22 yard pass from Todd Collins (Steve Christie kick),0,7
1,2.0,,Jets,John Hall 22 yard field goal,3,7
2,2.0,,Bills,Steve Christie 49 yard field goal,3,10
3,3.0,7:26,Jets,Keyshawn Johnson 29 yard pass from Neil O'Donnell (John Hall kick),10,10
4,4.0,7:26,Bills,Lonnie Johnson 62 yard pass from Todd Collins (Steve Christie kick),10,17
5,4.0,7:26,Bills,Steve Christie 34 yard field goal,10,20
