,Quarter,Tm,Detail,NYG,BAL
0,1.0,Colts,Gino Marchetti 33 yard defensive fumble return (Jim Martin kick),0,7
1,1.0,Colts,Jimmy Orr 34 yard pass from Johnny Unitas (Jim Martin kick),0,14
2,1.0,Giants,Don Chandler 42 yard field goal,3,14
3,2.0,Colts,John Mackey 32 yard pass from Johnny Unitas (Jim Martin kick),3,21
4,2.0,Giants,Phil King 46 yard pass from Y.A. Tittle (Don Chandler kick),10,21
5,2.0,Giants,Joe Walton 4 yard pass from Y.A. Tittle (Don Chandler kick),17,21
6,2.0,Colts,Jerry Hill 3 yard rush (Jim Martin kick),17,28
7,2.0,Giants,Hugh McElhenny 7 yard pass from Y.A. Tittle (Don Chandler kick),24,28
8,3.0,Giants,Y.A. Tittle 9 yard rush,30,28
9,3.0,Giants,Alex Webster 1 yard rush (Don Chandler kick),37,28
