,Quarter,Time,Tm,Detail,NOR,NWE
0,1.0,,Saints,Quinn Early 50 yard pass from Jim Everett (Doug Brien kick),7,0
1,1.0,,Patriots,Curtis Martin 9 yard rush (Matt Bahr kick),7,7
2,1.0,,Saints,Mario Bates 2 yard rush (Doug Brien kick),14,7
3,2.0,,Patriots,Curtis Martin 3 yard rush (Matt Bahr kick),14,14
4,2.0,,Saints,Doug Brien 24 yard field goal,17,14
5,4.0,6:23,Patriots,Matt Bahr 39 yard field goal,17,17
6,4.0,6:23,Saints,Lorenzo Neal 69 yard pass from Jim Everett (Doug Brien kick),24,17
7,4.0,14:30,Saints,Mario Bates 66 yard rush (Doug Brien kick),31,17
