,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,,Colts,Cary Blanchard 21 yard field goal,0,3
1,2.0,,Colts,Marshall Faulk 10 yard pass from Jim Harbaugh (Cary Blanchard kick),0,10
2,2.0,,Colts,Ken Dilger 7 yard pass from Jim Harbaugh (Cary Blanchard kick),0,17
3,2.0,,Colts,Cary Blanchard 50 yard field goal,0,20
4,2.0,,Colts,Ken Dilger 31 yard pass from Jim Harbaugh (Cary Blanchard kick),0,27
5,2.0,,Colts,Ken Dilger 8 yard pass from Jim Harbaugh (Cary Blanchard kick),0,34
6,4.0,,Colts,Marshall Faulk 7 yard rush (Cary Blanchard kick),0,41
