,Quarter,Time,Tm,Detail,NOR,IND
0,1,,Colts,Mike Vanderjagt 52 yard field goal,0,3
1,2,,Colts,Mike Vanderjagt 19 yard field goal,0,6
2,2,0:28,Saints,Doug Brien 22 yard field goal,3,6
3,3,0:28,Saints,Doug Brien 20 yard field goal,6,6
4,4,0:28,Colts,Marshall Faulk 78 yard pass from Peyton Manning (Mike Vanderjagt kick),6,13
5,4,0:45,Saints,Andre Hastings 15 yard pass from Danny Wuerffel (Doug Brien kick),13,13
6,OT,0:45,Saints,Cam Cleeland 33 yard pass from Danny Wuerffel,19,13
