,Quarter,Time,Tm,Detail,BAL,SDG
0,1.0,9:18,Chargers,Darren Sproles 81 yard pass from Philip Rivers (Nate Kaeding kick),0,7
1,1.0,4:49,Ravens,Willis McGahee 5 yard rush (Stephen Hauschka kick),7,7
2,1.0,0:44,Chargers,Nate Kaeding 29 yard field goal,7,10
3,2.0,10:50,Ravens,Willis McGahee 3 yard rush (Stephen Hauschka kick),14,10
4,2.0,3:00,Chargers,Nate Kaeding 22 yard field goal,14,13
5,2.0,1:38,Ravens,Kelley Washington 27 yard pass from Joe Flacco (Stephen Hauschka kick),21,13
6,2.0,0:08,Chargers,Nate Kaeding 23 yard field goal,21,16
7,3.0,8:24,Ravens,Todd Heap 9 yard pass from Joe Flacco (Stephen Hauschka kick),28,16
8,3.0,2:26,Chargers,Vincent Jackson 35 yard pass from Philip Rivers (Nate Kaeding kick),28,23
9,4.0,7:11,Chargers,Nate Kaeding 25 yard field goal,28,26
10,4.0,2:54,Ravens,Stephen Hauschka 33 yard field goal,31,26
