,Quarter,Time,Tm,Detail,PIT,CIN
0,1.0,,Steelers,Bam Morris 1 yard rush (Gary Anderson kick),7,0
1,1.0,,Bengals,Carl Pickens 7 yard pass from Jeff Blake (Doug Pelfrey kick),7,7
2,2.0,8:19,Steelers,Eric Green 5 yard pass from Neil O'Donnell (Gary Anderson kick),14,7
3,3.0,8:19,Steelers,Bam Morris 8 yard rush (Gary Anderson kick),21,7
4,4.0,8:19,Steelers,Gary Anderson 41 yard field goal,24,7
5,4.0,8:19,Steelers,Rod Woodson 27 yard interception return (Gary Anderson kick),31,7
6,4.0,8:19,Bengals,Jeff Blake 5 yard rush (Jeff Blake run),31,15
7,4.0,8:19,Steelers,Jonathan Hayes 3 yard pass from Neil O'Donnell (Gary Anderson kick),38,15
