,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Bruce Gossett 21 yard field goal,0,3
1,2.0,Giants,Pete Gogolak 15 yard field goal,3,3
2,2.0,Giants,Ron Johnson 8 yard rush (Pete Gogolak kick),10,3
3,2.0,49ers,Gene Washington 10 yard pass from John Brodie (Bruce Gossett kick),10,10
4,2.0,Giants,Pete Gogolak 11 yard field goal,13,10
5,4.0,49ers,Gene Washington 4 yard pass from John Brodie (Bruce Gossett kick),13,17
6,4.0,Giants,Pete Gogolak 19 yard field goal,16,17
7,4.0,Giants,Charlie Evans 4 yard rush (Pete Gogolak kick),23,17
