,Quarter,Tm,Detail,GNB,RII
0,1.0,Independents,Dutch Lauer unknown yard pass from Jimmy Conzelman,0,6
1,2.0,Independents,Jimmy Conzelman 25 yard field goal,0,9
2,2.0,Packers,Biff Taugher unknown yard rush (Curly Lambeau kick),7,9
3,2.0,Independents,Dutch Lauer 4 yard rush (Dutch Lauer kick),7,16
4,4.0,Independents,Jimmy Conzelman unknown yard field goal,7,19
5,4.0,Packers,Tommy Cronin unknown yard rush (Curly Lambeau kick),14,19
