,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Cliff Patton 48 yard field goal,3,0
1,2.0,Eagles,Steve Van Buren 1 yard rush (Joe Muha kick),10,0
2,2.0,Eagles,Clyde Scott 70 yard punt return (Joe Muha kick),17,0
3,3.0,Eagles,Steve Van Buren 6 yard rush (Joe Muha kick),24,0
4,3.0,Steelers,Val Jansante 35 yard pass from Jim Finks (Joe Glamp kick),24,7
5,4.0,Eagles,Tommy Thompson 1 yard rush (Joe Muha kick),31,7
6,4.0,Eagles,Pete Pihos 15 yard pass from Bill Mackrides (Joe Muha kick),38,7
