,Quarter,Time,Tm,Detail,TEN,NYJ
0,1.0,9:12,Jets,Eric Decker 16 yard pass from Ryan Fitzpatrick (Randy Bullock kick),0,7
1,1.0,0:47,Jets,Randy Bullock 47 yard field goal,0,10
2,2.0,9:22,Jets,Randy Bullock 27 yard field goal,0,13
3,2.0,4:18,Jets,Bilal Powell 16 yard pass from Ryan Fitzpatrick (Randy Bullock kick),0,20
4,2.0,1:35,Jets,Brandon Marshall 69 yard pass from Ryan Fitzpatrick (Randy Bullock kick),0,27
5,3.0,4:09,Titans,Marcus Mariota 41 yard pass from Antonio Andrews (Dexter McCluster pass from Marcus Mariota),8,27
6,4.0,2:42,Jets,Randy Bullock 42 yard field goal,8,30
