,Quarter,Time,Tm,Detail,DEN,CAR
0,1.0,10:58,Broncos,P.J. Pope 7 yard pass from Jay Cutler (Matt Prater kick),7,0
1,1.0,8:21,Panthers,Steve Smith 15 yard pass from Jake Delhomme (John Kasay kick),7,7
2,1.0,3:37,Broncos,Matt Prater 43 yard field goal,10,7
3,1.0,0:10,Panthers,John Kasay 39 yard field goal,10,10
4,2.0,6:29,Panthers,Jonathan Stewart 2 yard rush (John Kasay kick),10,17
5,2.0,0:00,Panthers,John Kasay 44 yard field goal,10,20
6,3.0,12:49,Panthers,DeAngelo Williams 56 yard rush (John Kasay kick),10,27
7,4.0,11:22,Panthers,John Kasay 42 yard field goal,10,30
