,Quarter,Time,Tm,Detail,MIN,SEA
0,1.0,8:52,Vikings,Dalvin Cook 8 yard rush (Dan Bailey kick),7,0
1,2.0,8:39,Vikings,Dan Bailey 52 yard field goal,10,0
2,2.0,0:15,Vikings,Dan Bailey 46 yard field goal,13,0
3,3.0,10:00,Seahawks,Will Dissly 19 yard pass from Russell Wilson (Jason Myers kick),13,7
4,3.0,8:23,Seahawks,D.K. Metcalf 13 yard pass from Russell Wilson (Jason Myers kick),13,14
5,3.0,8:09,Seahawks,Chris Carson 29 yard rush (Jason Myers kick),13,21
6,3.0,3:44,Vikings,Adam Thielen 3 yard pass from Kirk Cousins (run failed),19,21
7,4.0,7:13,Vikings,Adam Thielen 6 yard pass from Kirk Cousins (Dan Bailey kick),26,21
8,4.0,0:20,Seahawks,D.K. Metcalf 6 yard pass from Russell Wilson (pass failed),26,27
