,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,8:54,Eagles,Brian Westbrook 15 yard rush (David Akers kick),0,7
1,1.0,0:55,Cowboys,Marion Barber III 1 yard rush (Shaun Suisham kick),7,7
2,2.0,1:47,Eagles,Donovan McNabb 2 yard rush (David Akers kick),7,14
3,3.0,8:06,Eagles,David Akers 48 yard field goal,7,17
4,4.0,9:12,Eagles,David Akers 20 yard field goal,7,20
5,4.0,3:04,Cowboys,Terry Glenn 20 yard pass from Drew Bledsoe (Shaun Suisham kick),14,20
6,4.0,2:43,Cowboys,Roy Williams 46 yard interception return (Shaun Suisham kick),21,20
