,Quarter,Tm,Detail,CIN,BUF
0,1.0,Bills,Greg Bell 14 yard rush (Scott Norwood kick),0,7
1,2.0,Bills,Scott Norwood 43 yard field goal,0,10
2,2.0,Bengals,Eddie Brown 68 yard pass from Boomer Esiason,6,10
3,3.0,Bengals,M.L. Harris 22 yard pass from Boomer Esiason (Jim Breech kick),13,10
4,4.0,Bengals,Larry Kinnebrew 3 yard rush (Jim Breech kick),20,10
5,4.0,Bengals,Jim Breech 31 yard field goal,23,10
6,4.0,Bills,Eason Ramson 5 yard pass from Bruce Mathison (Scott Norwood kick),23,17
