,Quarter,Tm,Detail,ATL,CLE
0,1.0,Falcons,Mick Luckhurst 35 yard field goal,3,0
1,2.0,Falcons,Alfred Jenkins 18 yard pass from Steve Bartkowski (Mick Luckhurst kick),10,0
2,2.0,Browns,Mike Pruitt 13 yard pass from Brian Sipe (Dave Jacobs kick),10,7
3,2.0,Browns,Ozzie Newsome 23 yard pass from Brian Sipe (Dave Jacobs kick),10,14
4,2.0,Browns,Brian Sipe 1 yard rush (Dave Jacobs kick),10,21
5,3.0,Browns,Mike Pruitt 1 yard rush (Dave Jacobs kick),10,28
6,4.0,Falcons,Alfred Jenkins 5 yard pass from Steve Bartkowski (Mick Luckhurst kick),17,28
