,Quarter,Tm,Detail,STL,HOU
0,1.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),7,0
1,1.0,Oilers,Skip Butler 28 yard field goal,7,3
2,1.0,Oilers,Mike Montgomery 8 yard pass from Dan Pastorini (Skip Butler kick),7,10
3,2.0,Cardinals,Earl Thomas 6 yard pass from Jim Hart (Jim Bakken kick),14,10
4,2.0,Cardinals,Earl Thomas 40 yard pass from Jim Hart (Jim Bakken kick),21,10
5,2.0,Oilers,Skip Butler 24 yard field goal,21,13
6,3.0,Cardinals,Jim Bakken 25 yard field goal,24,13
7,4.0,Cardinals,Donny Anderson 5 yard rush (Jim Bakken kick),31,13
8,4.0,Oilers,George Amundson 1 yard rush (Skip Butler kick),31,20
9,4.0,Oilers,George Amundson 1 yard rush (Skip Butler kick),31,27
