,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,,Dolphins,Oronde Gadsden 35 yard pass from Dan Marino (Olindo Mare kick),7,0
1,1.0,,Patriots,Ben Coates 8 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,7
2,2.0,,Dolphins,Oronde Gadsden 11 yard pass from Dan Marino (Olindo Mare kick),14,7
3,2.0,1:12,Patriots,Adam Vinatieri 25 yard field goal,14,10
4,3.0,1:12,Patriots,Adam Vinatieri 44 yard field goal,14,13
5,3.0,1:12,Dolphins,Olindo Mare 21 yard field goal,17,13
6,3.0,1:12,Patriots,Adam Vinatieri 45 yard field goal,17,16
7,4.0,1:12,Patriots,Adam Vinatieri 24 yard field goal,17,19
8,4.0,1:12,Dolphins,Karim Abdul-Jabbar 4 yard rush (pass failed),23,19
9,4.0,0:34,Patriots,Shawn Jefferson 25 yard pass from Drew Bledsoe (Adam Vinatieri kick),23,26
