,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Brent Fullwood 1 yard rush (Max Zendejas kick),7,0
1,2.0,Bears,Neal Anderson 20 yard pass from Jim McMahon (Kevin Butler kick),7,7
2,2.0,Packers,Max Zendejas 32 yard field goal,10,7
3,2.0,Bears,Kevin Butler 21 yard field goal,10,10
4,3.0,Bears,Kevin Butler 27 yard field goal,10,13
5,4.0,Bears,Thomas Sanders 7 yard rush (Kevin Butler kick),10,20
6,4.0,Bears,Kevin Butler 52 yard field goal,10,23
