,Quarter,Time,Tm,Detail,BAL,DAL
0,1.0,5:28,Ravens,Terrance West 18 yard rush (Justin Tucker kick),7,0
1,2.0,5:55,Cowboys,Cole Beasley 3 yard pass from Dak Prescott (Dan Bailey kick),7,7
2,2.0,1:37,Ravens,Justin Tucker 46 yard field goal,10,7
3,2.0,0:04,Cowboys,Dan Bailey 30 yard field goal,10,10
4,3.0,7:31,Cowboys,Dez Bryant 4 yard pass from Dak Prescott (Dan Bailey kick),10,17
5,4.0,11:30,Cowboys,Dez Bryant 13 yard pass from Dak Prescott (Dan Bailey kick),10,24
6,4.0,8:16,Ravens,Steve Smith 5 yard pass from Joe Flacco (Justin Tucker kick),17,24
7,4.0,1:50,Cowboys,Dan Bailey 21 yard field goal,17,27
