,Quarter,Tm,Detail,DEN,BUF
0,1.0,Broncos,Jim Turner 23 yard field goal,3,0
1,2.0,Bills,Steve Freeman 50 yard interception return (Nick Mike-Mayer kick),3,7
2,2.0,Bills,Nick Mike-Mayer 28 yard field goal,3,10
3,3.0,Broncos,Louis Wright 78 yard defensive fumble return (pass failed),9,10
4,3.0,Broncos,Haven Moses 46 yard pass from Craig Morton (Jim Turner kick),16,10
5,4.0,Bills,Nick Mike-Mayer 32 yard field goal,16,13
6,4.0,Bills,Nick Mike-Mayer 34 yard field goal,16,16
7,4.0,Broncos,Jim Turner 32 yard field goal,19,16
