,Quarter,Tm,Detail,CHI,SDG
0,1.0,Chargers,John Carney 28 yard field goal,0,3
1,2.0,Chargers,John Kidd 2 yard rush (John Carney kick),0,10
2,2.0,Bears,Kevin Butler 33 yard field goal,3,10
3,2.0,Bears,Kevin Butler 54 yard field goal,6,10
4,3.0,Bears,Kevin Butler 20 yard field goal,9,10
5,3.0,Bears,Curtis Conway 38 yard pass from Jim Harbaugh (Kevin Butler kick),16,10
6,4.0,Chargers,John Carney 26 yard field goal,16,13
