,Quarter,Time,Tm,Detail,BUF,PIT
0,2.0,14:26,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),7,0
1,2.0,11:31,Steelers,Chris Boswell 49 yard field goal,7,3
2,3.0,11:24,Steelers,James Conner 11 yard pass from Devlin Hodges (Chris Boswell kick),7,10
3,4.0,12:27,Bills,Stephen Hauschka 36 yard field goal,10,10
4,4.0,8:00,Bills,Tyler Kroft 14 yard pass from Josh Allen (Stephen Hauschka kick),17,10
