,Quarter,Tm,Detail,SDG,DEN
0,1,Chargers,Gary Anderson 98 yard kickoff return (Bob Thomas kick),7,0
1,1,Broncos,Steve Watson 4 yard pass from John Elway (Rich Karlis kick),7,7
2,2,Chargers,Lionel James 6 yard pass from Dan Fouts (Bob Thomas kick),14,7
3,4,Broncos,Gene Lang 2 yard rush (Rich Karlis kick),14,14
4,4,Broncos,Gene Lang 4 yard rush (Rich Karlis kick),14,21
5,4,Chargers,Bob Thomas 36 yard field goal,17,21
6,4,Chargers,Tim Spencer 2 yard rush (Bob Thomas kick),24,21
7,4,Broncos,Rich Karlis 34 yard field goal,24,24
8,OT,Broncos,Louis Wright 60 yard blocked field goal return,24,30
