,Quarter,Tm,Detail,GNB,NYG
0,2.0,Giants,Ray Poole 42 yard field goal,0,3
1,2.0,Packers,Babe Parilli 1 yard rush (Fred Cone kick),7,3
2,3.0,Packers,Bob Mann 2 yard pass from Babe Parilli (Fred Cone kick),14,3
3,4.0,Packers,Bill Reichardt 22 yard field goal,17,3
