,Quarter,Tm,Detail,RAI,CHI
0,1.0,Raiders,Jeff Jaeger 31 yard field goal,3,0
1,2.0,Raiders,Napoleon McCallum 1 yard rush (Jeff Jaeger kick),10,0
2,2.0,Raiders,Jeff Jaeger 21 yard field goal,13,0
3,3.0,Bears,Neal Anderson 3 yard rush (Kevin Butler kick),13,7
4,4.0,Raiders,Jeff Jaeger 21 yard field goal,16,7
5,4.0,Bears,Terry Obee 13 yard pass from Jim Harbaugh (Kevin Butler kick),16,14
