,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,9:29,Browns,Phil Dawson 25 yard field goal,3,0
1,2.0,10:22,Bengals,Shayne Graham 42 yard field goal,3,3
2,2.0,0:08,Bengals,Shayne Graham 45 yard field goal,3,6
3,4.0,13:05,Browns,Braylon Edwards 4 yard pass from Derek Anderson (Phil Dawson kick),10,6
4,4.0,11:06,Browns,Jamal Lewis 1 yard rush (Phil Dawson kick),17,6
5,4.0,7:46,Bengals,Chad Johnson 4 yard pass from Ryan Fitzpatrick (pass failed),17,12
6,4.0,0:32,Browns,Phil Dawson 29 yard field goal,20,12
