,Quarter,Tm,Detail,ATL,BUF
0,1.0,Bills,Frank Lewis 11 yard pass from Joe Ferguson (Nick Mike-Mayer kick),0,7
1,2.0,Bills,Joe Cribbs 13 yard rush (Nick Mike-Mayer kick),0,14
2,2.0,Falcons,Tim Mazzetti 28 yard field goal,3,14
3,2.0,Falcons,Junior Miller 16 yard pass from Steve Bartkowski (Tim Mazzetti kick),10,14
4,3.0,Falcons,Lynn Cain 1 yard rush (Tim Mazzetti kick),17,14
5,3.0,Falcons,Tim Mazzetti 50 yard field goal,20,14
6,4.0,Falcons,Tim Mazzetti 44 yard field goal,23,14
7,4.0,Falcons,Lynn Cain 1 yard rush (Tim Mazzetti kick),30,14
