,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,Chip Lohmiller 37 yard field goal,0,3
1,2.0,Cowboys,Ken Willis 33 yard field goal,3,3
2,2.0,Redskins,Chip Lohmiller 23 yard field goal,3,6
3,3.0,Cowboys,Ken Willis 41 yard field goal,6,6
4,3.0,Redskins,Chip Lohmiller 24 yard field goal,6,9
5,3.0,Redskins,Chip Lohmiller 55 yard field goal,6,12
6,4.0,Redskins,Darrell Green 18 yard interception return (Chip Lohmiller kick),6,19
7,4.0,Cowboys,Emmitt Smith 2 yard rush (Ken Willis kick),13,19
8,4.0,Cowboys,"Safety, Mojsiejenko ran out of end zone",15,19
