,Quarter,Tm,Detail,MIN,STL
0,1.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),7,0
1,1.0,Cardinals,J.V. Cain 40 yard pass from Jim Hart (Jim Bakken kick),7,7
2,1.0,Vikings,John Gilliam 10 yard pass from Fran Tarkenton (Fred Cox kick),14,7
3,2.0,Cardinals,Jim Bakken 46 yard field goal,14,10
4,2.0,Cardinals,Earl Thomas 12 yard pass from Jim Hart (Jim Bakken kick),14,17
5,3.0,Vikings,Chuck Foreman 13 yard rush (Fred Cox kick),21,17
6,4.0,Vikings,Fran Tarkenton 11 yard rush (Fred Cox kick),28,17
7,4.0,Cardinals,Jim Hart 4 yard rush (Jim Bakken kick),28,24
