,Quarter,Tm,Detail,NYG,WAS
0,3.0,Redskins,Ricky Thompson 6 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,3.0,Giants,Billy Taylor 5 yard rush (Joe Danelo kick),7,7
2,4.0,Giants,Joe Danelo 25 yard field goal,10,7
3,4.0,Giants,George Martin 8 yard defensive fumble return (Joe Danelo kick),17,7
