,Quarter,Tm,Detail,NYG,PHI
0,2.0,Eagles,Neill Armstrong 20 yard pass from Tommy Thompson (Cliff Patton kick),0,7
1,2.0,Eagles,Cliff Patton 13 yard field goal,0,10
2,3.0,Giants,Ben Agajanian 21 yard field goal,3,10
3,4.0,Eagles,Steve Van Buren 1 yard rush (Cliff Patton kick),3,17
