,Quarter,Time,Tm,Detail,ATL,DET
0,1,,Lions,Derrick Moore 1 yard rush (Jason Hanson kick),0,7
1,2,,Falcons,Erric Pegram 1 yard rush (Norm Johnson kick),7,7
2,3,,Lions,Herman Moore 4 yard pass from Scott Mitchell (Jason Hanson kick),7,14
3,3,,Falcons,Andre Rison 2 yard pass from Jeff George (Norm Johnson kick),14,14
4,4,,Lions,Anthony Carter 9 yard pass from Scott Mitchell (Jason Hanson kick),14,21
5,4,,Falcons,Andre Rison 69 yard pass from Jeff George (Norm Johnson kick),21,21
6,4,,Falcons,Terance Mathis 15 yard pass from Jeff George (Norm Johnson kick),28,21
7,4,,Lions,Anthony Carter 15 yard pass from Scott Mitchell (Jason Hanson kick),28,28
8,OT,,Lions,Jason Hanson 37 yard field goal,28,31
