,Quarter,Tm,Detail,GNB,ATL
0,1.0,Falcons,Mike Pritchard 2 yard pass from Chris Miller (Norm Johnson kick),0,7
1,1.0,Falcons,Andre Rison 10 yard pass from Chris Miller (Norm Johnson kick),0,14
2,3.0,Falcons,Norm Johnson 49 yard field goal,0,17
3,3.0,Packers,Sterling Sharpe 15 yard pass from Brett Favre (Chris Jacke kick),7,17
4,4.0,Packers,Chris Jacke 41 yard field goal,10,17
5,4.0,Falcons,Andre Rison 21 yard pass from Chris Miller (Norm Johnson kick),10,24
