,Quarter,Tm,Detail,BAL,MIN
0,1.0,Colts,John Mackey 56 yard pass from Johnny Unitas (Jim Martin kick),7,0
1,1.0,Colts,"Safety, Tarkenton tackled in end zone by Colvin",9,0
2,1.0,Colts,Jerry Hill 2 yard pass from Johnny Unitas (Jim Martin kick),16,0
3,2.0,Vikings,Fred Cox 37 yard field goal,16,3
4,2.0,Vikings,Paul Flatley 54 yard pass from Fran Tarkenton (Fred Cox kick),16,10
5,2.0,Vikings,Fred Cox 19 yard field goal,16,13
6,3.0,Vikings,Tommy Mason 21 yard pass from Fran Tarkenton (Fred Cox kick),16,20
7,4.0,Vikings,Tommy Wilson 30 yard rush (Fred Cox kick),16,27
8,4.0,Colts,Tom Matte 2 yard rush (Jim Martin kick),23,27
9,4.0,Vikings,Tommy Mason 70 yard rush (Fred Cox kick),23,34
10,4.0,Colts,Jimmy Orr 60 yard pass from Johnny Unitas (Jim Martin kick),30,34
11,4.0,Colts,Jimmy Orr 13 yard pass from Johnny Unitas (Jim Martin kick),37,34
