,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,George Blanda 40 yard field goal,3,0
1,1.0,Packers,Bob Mann 19 yard pass from Tobin Rote,3,6
2,2.0,Packers,Gib Dawson 60 yard punt return (Fred Cone kick),3,13
3,2.0,Bears,John Dottley 2 yard rush (George Blanda kick),10,13
4,4.0,Bears,Jim Dooley 16 yard pass from George Blanda (George Blanda kick),17,13
