,Quarter,Tm,Detail,ATL,SFO
0,1,Falcons,Ken Burrow 51 yard pass from Bob Lee (Nick Mike-Mayer kick),7,0
1,2,Falcons,Ken Burrow 22 yard pass from Bob Lee (Nick Mike-Mayer kick),14,0
2,3,Falcons,Nick Mike-Mayer 52 yard field goal,17,0
3,4,49ers,Bruce Gossett 42 yard field goal,17,3
