,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,"Safety, Ryan tackled Hudson in end zone",2,0
1,1.0,Broncos,Bobby Micho 26 yard pass from Ken Karcher (Mike Clendenen kick),9,0
2,1.0,Chiefs,Jitter Fields 85 yard punt return (James Hamrick kick),9,7
3,2.0,Broncos,Mike Clendenen 35 yard field goal,12,7
4,2.0,Chiefs,Robert Parker 4 yard rush (James Hamrick kick),12,14
5,2.0,Broncos,Shane Swanson 35 yard pass from Ken Karcher (Mike Clendenen kick),19,14
6,3.0,Chiefs,James Hamrick 25 yard field goal,19,17
7,4.0,Broncos,Bobby Micho 5 yard pass from Ken Karcher (Mike Clendenen kick),26,17
