,Quarter,Time,Tm,Detail,HOU,DEN
0,1.0,2:41,Texans,Arian Foster 3 yard rush (Neil Rackers kick),7,0
1,2.0,11:43,Texans,Owen Daniels 3 yard pass from Matt Schaub (Neil Rackers kick),14,0
2,2.0,0:22,Texans,Neil Rackers 34 yard field goal,17,0
3,3.0,12:58,Broncos,Correll Buckhalter 6 yard rush (Stephen Hauschka kick),17,7
4,3.0,10:14,Texans,Neil Rackers 54 yard field goal,20,7
5,3.0,7:06,Broncos,Stephen Hauschka 27 yard field goal,20,10
6,3.0,2:34,Texans,Neil Rackers 57 yard field goal,23,10
7,4.0,10:55,Broncos,Correll Buckhalter 23 yard pass from Tim Tebow (Stephen Hauschka kick),23,17
8,4.0,3:02,Broncos,Tim Tebow 6 yard rush (Stephen Hauschka kick),23,24
