,Quarter,Tm,Detail,SDG,DAL
0,1.0,Chargers,Rolf Benirschke 45 yard field goal,3,0
1,1.0,Cowboys,Ron Springs 4 yard rush (Rafael Septien kick),3,7
2,2.0,Chargers,John Jefferson 58 yard pass from Dan Fouts (Rolf Benirschke kick),10,7
3,2.0,Chargers,Woodrow Lowe 16 yard interception return (Rolf Benirschke kick),17,7
4,2.0,Cowboys,Butch Johnson 17 yard pass from Danny White (Rafael Septien kick),17,14
5,2.0,Chargers,Kellen Winslow 9 yard pass from Dan Fouts (Rolf Benirschke kick),24,14
6,3.0,Cowboys,Timmy Newsome 1 yard rush (Rafael Septien kick),24,21
7,3.0,Cowboys,Timmy Newsome 1 yard rush (Rafael Septien kick),24,28
8,3.0,Cowboys,Jay Saldi 12 yard pass from Danny White (Rafael Septien kick),24,35
9,4.0,Cowboys,Billy Joe DuPree 9 yard pass from Danny White (Rafael Septien kick),24,42
10,4.0,Chargers,Kellen Winslow 3 yard pass from Dan Fouts (Rolf Benirschke kick),31,42
