,Quarter,Tm,Detail,SFO,ATL
0,1.0,Falcons,Bill Bell 23 yard field goal,0,3
1,2.0,49ers,Jimmy Thomas 25 yard rush (Bruce Gossett kick),7,3
2,2.0,Falcons,Ken Burrow 10 yard pass from Bob Berry (Bill Bell kick),7,10
3,3.0,Falcons,Bill Bell 23 yard field goal,7,13
4,3.0,Falcons,Ken Burrow 35 yard pass from Bob Berry (Bill Bell kick),7,20
5,4.0,49ers,Bruce Gossett 28 yard field goal,10,20
6,4.0,49ers,Ted Kwalick 33 yard pass from John Brodie (Bruce Gossett kick),17,20
