,Quarter,Tm,Detail,PIT,ATL
0,1.0,Steelers,Mike Clark 22 yard field goal,3,0
1,1.0,Steelers,Mike Clark 19 yard field goal,6,0
2,2.0,Steelers,Gary Ballman 12 yard pass from Bill Nelsen (Mike Clark kick),13,0
3,2.0,Steelers,Amos Bullocks 13 yard rush (Mike Clark kick),20,0
4,2.0,Falcons,Junior Coffey 1 yard rush (Lou Kirouac kick),20,7
5,2.0,Steelers,Cannonball Butler 1 yard rush (run failed),26,7
6,2.0,Steelers,Mike Clark 21 yard field goal,29,7
7,3.0,Falcons,Preston Ridlehuber 53 yard pass from Randy Johnson (Lou Kirouac kick),29,14
8,3.0,Steelers,Cannonball Butler 1 yard rush (Mike Clark kick),36,14
9,3.0,Steelers,Roy Jefferson 68 yard pass from Bill Nelsen (Mike Clark kick),43,14
10,3.0,Steelers,Clendon Thomas 23 yard defensive fumble return (Mike Clark kick),50,14
11,3.0,Falcons,Preston Ridlehuber 19 yard pass from Randy Johnson (Lou Kirouac kick),50,21
12,4.0,Steelers,Willie Asbury 2 yard rush (Mike Clark kick),57,21
13,4.0,Falcons,Taz Anderson 62 yard pass from Dennis Claridge,57,27
14,4.0,Falcons,Taz Anderson 12 yard pass from Dennis Claridge,57,33
