,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,4:09,Raiders,Michael Husted 33 yard field goal,0,3
1,2.0,12:30,Chiefs,Donnell Bennett 2 yard rush (Pete Stoyanovich kick),7,3
2,2.0,8:38,Raiders,Michael Husted 30 yard field goal,7,6
3,2.0,4:51,Chiefs,Pete Stoyanovich 47 yard field goal,10,6
4,2.0,1:19,Raiders,Rickey Dudley 16 yard pass from Rich Gannon (Michael Husted kick),10,13
5,3.0,10:20,Chiefs,Pete Stoyanovich 37 yard field goal,13,13
6,3.0,8:56,Chiefs,Cris Dishman 47 yard interception return (Pete Stoyanovich kick),20,13
7,3.0,5:15,Raiders,Rich Gannon 6 yard rush (Michael Husted kick),20,20
8,3.0,4:06,Raiders,Rickey Dudley 3 yard pass from Rich Gannon (Michael Husted kick),20,27
9,3.0,0:03,Raiders,Charles Woodson 15 yard interception return (Michael Husted kick),20,34
10,4.0,13:38,Chiefs,Tony Gonzalez 73 yard pass from Elvis Grbac (Pete Stoyanovich kick),27,34
11,4.0,6:24,Chiefs,Cris Dishman 40 yard defensive fumble return (Pete Stoyanovich kick),34,34
12,4.0,0:00,Chiefs,Pete Stoyanovich 44 yard field goal,37,34
