,Quarter,Tm,Detail,CIN,NYJ
0,1.0,Bengals,Chip Myers 5 yard pass from Virgil Carter (Horst Muhlmann kick),7,0
1,1.0,Jets,Emerson Boozer 1 yard rush (Bobby Howfield kick),7,7
2,2.0,Jets,Rich Caster 11 yard pass from Joe Namath (Bobby Howfield kick),7,14
3,2.0,Jets,Don Maynard 74 yard pass from Joe Namath (Bobby Howfield kick),7,21
4,2.0,Jets,Emerson Boozer 7 yard rush (Bobby Howfield kick),7,28
5,3.0,Bengals,Fred Willis 6 yard rush (Horst Muhlmann kick),14,28
6,3.0,Jets,Cliff McClain 63 yard rush (Bobby Howfield kick),14,35
7,4.0,Bengals,Bruce Coslet 9 yard pass from Ken Anderson (Virgil Carter run),21,35
