,Quarter,Tm,Detail,BUF,SDG
0,1.0,Bills,Nick Mike-Mayer 48 yard field goal,3,0
1,1.0,Chargers,Kellen Winslow 4 yard pass from Dan Fouts (Rolf Benirschke kick),3,7
2,2.0,Chargers,John Jefferson 5 yard pass from Dan Fouts (Rolf Benirschke kick),3,14
3,2.0,Bills,Nick Mike-Mayer 29 yard field goal,6,14
4,2.0,Bills,Lucius Sanford special teams fumble recovery in end zone,12,14
5,2.0,Chargers,Rolf Benirschke 29 yard field goal,12,17
6,3.0,Chargers,Clarence Williams 3 yard rush (Rolf Benirschke kick),12,24
7,4.0,Bills,Mark Brammer 9 yard pass from Joe Ferguson (Nick Mike-Mayer kick),19,24
8,4.0,Bills,Joe Cribbs 3 yard rush (Nick Mike-Mayer kick),26,24
