,Quarter,Tm,Detail,NYY,CHI
0,1.0,Bears,Wilford White 28 yard field goal,0,3
1,2.0,Bears,Johnny Lujack 10 yard rush (Johnny Lujack kick),0,10
2,4.0,Bears,Billy Stone 42 yard rush (Johnny Lujack kick),0,17
3,4.0,Bears,John Hoffman 78 yard pass from Johnny Lujack (Johnny Lujack kick),0,24
4,4.0,Yanks,Zollie Toth 4 yard rush (Harvey Johnson kick),7,24
5,4.0,Yanks,Dan Garza 16 yard pass from Bob Celeri (Harvey Johnson kick),14,24
6,4.0,Yanks,Art Tait 40 yard fumble return (Harvey Johnson kick),21,24
