,Quarter,Time,Tm,Detail,CLE,STL
0,1.0,11:59,Rams,Rodney McLeod 20 yard defensive fumble return (Greg Zuerlein kick),0,7
1,1.0,7:33,Rams,Greg Zuerlein 39 yard field goal,0,10
2,2.0,14:05,Browns,Travis Coons 25 yard field goal,3,10
3,3.0,11:45,Browns,Travis Coons 44 yard field goal,6,10
4,3.0,2:14,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),6,17
5,4.0,8:11,Rams,Todd Gurley 16 yard rush (Greg Zuerlein kick),6,24
