,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Mike Cofer 26 yard field goal,0,3
1,1.0,Rams,Mike Lansford 40 yard field goal,3,3
2,1.0,49ers,Mike Cofer 32 yard field goal,3,6
3,2.0,Rams,Flipper Anderson 65 yard pass from Jim Everett (Mike Lansford kick),10,6
4,2.0,49ers,Mike Cofer 41 yard field goal,10,9
5,4.0,49ers,Mike Cofer 17 yard field goal,10,12
6,4.0,Rams,Mike Lansford 26 yard field goal,13,12
