,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,8:19,Panthers,Graham Gano 29 yard field goal,0,3
1,1.0,5:54,Buccaneers,Mike Evans 8 yard pass from Josh McCown (Patrick Murray kick),7,3
2,1.0,1:14,Panthers,Graham Gano 49 yard field goal,7,6
3,2.0,1:10,Panthers,Graham Gano 38 yard field goal,7,9
4,2.0,0:02,Buccaneers,Patrick Murray 48 yard field goal,10,9
5,3.0,13:53,Panthers,Jerricho Cotchery 2 yard pass from Derek Anderson (Graham Gano kick),10,16
6,4.0,8:31,Panthers,Graham Gano 45 yard field goal,10,19
7,4.0,3:11,Buccaneers,Josh McCown 16 yard rush (Patrick Murray kick),17,19
