,Quarter,Tm,Detail,MIN,CIN
0,1.0,Vikings,Terry Allen 15 yard pass from Rich Gannon (Fuad Reveiz kick),7,0
1,1.0,Vikings,Cris Carter 15 yard pass from Rich Gannon (Fuad Reveiz kick),14,0
2,2.0,Vikings,Terry Allen 2 yard rush (Fuad Reveiz kick),21,0
3,2.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),28,0
4,3.0,Vikings,Cris Carter 30 yard pass from Rich Gannon (Fuad Reveiz kick),35,0
5,4.0,Bengals,Derrick Fenner 1 yard rush (Jim Breech kick),35,7
6,4.0,Vikings,Hassan Jones 32 yard pass from Rich Gannon (Fuad Reveiz kick),42,7
