,Quarter,Tm,Detail,WAS,BAL
0,2.0,Colts,Lenny Moore 4 yard rush (Steve Myhra kick),0,7
1,3.0,Colts,Steve Myhra 28 yard field goal,0,10
2,3.0,Colts,Raymond Berry 12 yard pass from Johnny Unitas (Steve Myhra kick),0,17
3,4.0,Colts,Steve Myhra 18 yard field goal,0,20
