,Quarter,Tm,Detail,RAM,CLE
0,1.0,Rams,Danny Villanueva 13 yard field goal,3,0
1,2.0,Browns,Jim Brown 17 yard rush (Lou Groza kick),3,7
2,3.0,Browns,Rich Kreitling 14 yard pass from Frank Ryan,3,13
3,4.0,Rams,Danny Villanueva 45 yard field goal,6,13
4,4.0,Browns,Ray Renfro 39 yard pass from Frank Ryan (Lou Groza kick),6,20
