,Quarter,Time,Tm,Detail,NYJ,SFO
0,1.0,2:16,49ers,Joe Staley 6 yard offensive fumble return (Joe Nedney kick),0,7
1,2.0,7:17,Jets,Brett Favre 2 yard rush (Jay Feely kick),7,7
2,2.0,0:46,49ers,Frank Gore 4 yard pass from Shaun Hill (Joe Nedney kick),7,14
3,3.0,5:24,Jets,Thomas Jones 17 yard rush (Jay Feely kick),14,14
4,4.0,14:44,49ers,Joe Nedney 32 yard field goal,14,17
5,4.0,6:05,49ers,Bryant Johnson 3 yard pass from Shaun Hill (Joe Nedney kick),14,24
