,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,3:56,Ravens,Terrance West 4 yard rush (Justin Tucker kick),0,7
1,2.0,7:17,Ravens,Javorius Allen 9 yard pass from Joe Flacco (Justin Tucker kick),0,14
2,2.0,4:56,Browns,David Njoku 23 yard pass from Kevin Hogan (Zane Gonzalez kick),7,14
3,2.0,0:01,Ravens,Jeremy Maclin 2 yard pass from Joe Flacco (Justin Tucker kick),7,21
4,3.0,9:21,Browns,Zane Gonzalez 38 yard field goal,10,21
5,4.0,14:56,Ravens,Justin Tucker 28 yard field goal,10,24
