,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Jim Castiglia 22 yard pass from Sammy Baugh (Dick Poillon kick),0,7
1,1.0,Steelers,Johnny Clement 28 yard rush (Joe Glamp kick),7,7
2,2.0,Steelers,Joe Glamp 38 yard pass from Johnny Clement (Joe Glamp kick),14,7
3,4.0,Redskins,Doug Turley 33 yard fumble return (Dick Poillon kick),14,14
4,4.0,Redskins,Dick Poillon 28 yard field goal,14,17
