,Quarter,Tm,Detail,CHI,FRN
0,3.0,Yellow Jackets,Ken Mercer 3 yard rush,0,6
1,4.0,Yellow Jackets,Ken Mercer 4 yard rush,0,13
2,4.0,Yellow Jackets,Ken Mercer 1 yard rush,0,19
