,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Barry Sanders 4 yard rush (Eddie Murray kick),0,7
1,2.0,Packers,Vince Workman 1 yard rush (Chris Jacke kick),7,7
2,2.0,Lions,Eddie Murray 41 yard field goal,7,10
3,3.0,Lions,Willie Green 12 yard pass from Rodney Peete (Eddie Murray kick),7,17
4,3.0,Lions,Eddie Murray 27 yard field goal,7,20
5,3.0,Packers,Don Majkowski 2 yard rush (Chris Jacke kick),14,20
6,4.0,Lions,Eddie Murray 36 yard field goal,14,23
