,Quarter,Tm,Detail,BUF,TAM
0,2.0,Buccaneers,John Carney 29 yard field goal,0,3
1,2.0,Buccaneers,Vinny Testaverde 4 yard rush (John Carney kick),0,10
2,3.0,Bills,"Safety, B. Smith tackled Testaverde in end zone",2,10
3,4.0,Bills,Scott Norwood 30 yard field goal,5,10
