,Quarter,Tm,Detail,BUF,NWE
0,1.0,Patriots,Vagas Ferguson 9 yard rush (John Smith kick),0,7
1,2.0,Patriots,Russ Francis 5 yard pass from Matt Cavanaugh (John Smith kick),0,14
2,3.0,Patriots,Andy Johnson 13 yard pass from Matt Cavanaugh (John Smith kick),0,21
3,3.0,Bills,"Safety, Hubach tackled in end zone",2,21
4,4.0,Patriots,John Smith 27 yard field goal,2,24
