,Quarter,Tm,Detail,NYY,SFO
0,1.0,Yanks,Zollie Toth 2 yard rush (Chet Adams kick),7,0
1,1.0,Yanks,Joe Golding 32 yard fumble return (Chet Adams kick),14,0
2,2.0,49ers,Paul Salata 2 yard pass from Frankie Albert (Gordie Soltau kick),14,7
3,2.0,49ers,Gordie Soltau 26 yard field goal,14,10
4,3.0,Yanks,Zollie Toth 7 yard pass from George Ratterman (Chet Adams kick),21,10
5,4.0,49ers,Joe Perry 2 yard rush (Gordie Soltau kick),21,17
