,Quarter,Tm,Detail,SFO,DAL
0,1.0,49ers,Tommy Davis 18 yard field goal,3,0
1,2.0,Cowboys,Jim Doran 16 yard pass from Don Meredith (Fred Cone kick),3,7
2,2.0,49ers,Tommy Davis 27 yard field goal,6,7
3,3.0,49ers,Tommy Davis 16 yard field goal,9,7
4,4.0,Cowboys,Frank Clarke 76 yard pass from Eddie LeBaron (Fred Cone kick),9,14
5,4.0,49ers,C.R. Roberts 20 yard rush (Tommy Davis kick),16,14
6,4.0,49ers,Tommy Davis 22 yard field goal,19,14
7,4.0,49ers,J.D. Smith 14 yard rush (Tommy Davis kick),26,14
